"Link","Type","Title","Description","By","Country","Rating","Categories","Colors"
"https://www.awwwards.com/sites/plus-x-digital-showroom","Nominees","Plus X digital showroom","The new Kia ProCeed_Bold Move",NA,"Korea",NA,"Design Agencies,Web & Interactive,360,Gallery,3D,Content architecture,Interaction Design,GSAP Animation,Three.js,React,P5.js,Cinema 4D,Python",""
"https://www.awwwards.com/sites/nocello-liqueur","Nominees","Nocello Liqueur","Nuovo Pasta Web",NA,"United States",NA,"Food & Drink,Web & Interactive,Graphic design,Responsive Design,Transitions,Interaction Design,UI design,Header Design,Wordpress,HTML5,jQuery,PHP,Google App Engine,Adobe XD",""
"https://www.awwwards.com/sites/lemon-scuad","Nominees","Lemon Scuad","Corrily",NA,"Japan",NA,"Business & Corporate,Design Agencies,Web & Interactive,Clean,Illustration,Header Design,Webflow,Figma,Adobe Photoshop,Adobe Illustrator",""
"https://www.awwwards.com/sites/annei","Nominees","Annei","Executive",NA,"France",NA,"Web & Interactive,Animation,Clean,Minimal,Scrolling,Single page,Storytelling,CSS,HTML5,jQuery,PHP,OWL Carousel,Javascript",""
"https://www.awwwards.com/sites/parc-naturel-regional-guyane","Nominees","Parc naturel régional Guyane","Lisbon Zoo",NA,"France",NA,"Culture & Education,Institutions,Social responsibility,Clean,Flat Design,Graphic design,Icons,Responsive Design,Illustration",""
"https://www.awwwards.com/sites/green-pasture-products","Nominees","Green Pasture Products","Webstraxt",NA,"United States",NA,"E-Commerce,Navigation Menu,Responsive Design,SEO,Wordpress,Magento,WooCommerce",""
"https://www.awwwards.com/sites/munro-partners","Nominees","Munro Partners","DMITRI SIMONENKO",NA,"Australia",NA,"Business & Corporate,Animation,WebGL,Webflow",""
"https://www.awwwards.com/sites/mire","Nominees","Mire","Sensu",NA,"France",NA,"Design Agencies,Web & Interactive,Portfolio,Transitions,CSS,HTML5,Javascript",""
"https://www.awwwards.com/sites/fancy-state-music-agency","Nominees","Fancy State music agency","Peter Lindbergh",NA,"Russia",NA,"Business & Corporate,Music & Sound,Promotional,Animation,Clean,Minimal,Typography,Vector,404 pages,After Effects,Figma,Tilda",""
"https://www.awwwards.com/sites/think-do-be-different","Nominees","THINK / DO / BE / DIFFERENT","Tekniska - Everything connects",NA,"United States",NA,"Design Agencies,Web & Interactive,Experimental,Animation,Graphic design,Scrolling,Single page,Storytelling,Photo & Video,ReadyMag,Adobe Photoshop,Adobe Illustrator",""
"https://www.awwwards.com/sites/photon-experience","Nominees","PHOTON Experience","Self Scenter",NA,"China",NA,"Technology,Web & Interactive,Experimental,Sound-Audio,Storytelling,3D,Interaction Design,WebGL,Node.js,GSAP Animation,Three.js,Vue.js,Blender",""
"https://www.awwwards.com/sites/game-bytes","Nominees","Game Bytes","sports.ru",NA,"Austria",NA,"E-Commerce,Food & Drink,Games & Entertainment,Animation,Colorful,Data Visualization,Responsive,Filters and Effects,Interaction Design,CSS,HTML5,Shopify,Javascript,Figma,Sass",""
"https://www.awwwards.com/sites/musee-de-la-grande-guerre","Nominees","Musée de la Grande Guerre","The Axis Trivedi",NA,"France",NA,"Culture & Education,Animation,Transitions,CSS,GSAP Animation",""
"https://www.awwwards.com/sites/douce-rebelle","Nominees","Douce Rebelle","Flat UI And A Half",NA,"Canada",NA,"Web & Interactive,Clean,Colorful",""
"https://www.awwwards.com/sites/reebok-x-dor-et-de-platine","Nominees","Reebok x D'Or et de Platine","Lamborghini Huracan STO",NA,"France",NA,"E-Commerce,Fashion,360,Gestures / Interaction,Three.js",""
"https://www.awwwards.com/sites/cernucci","Nominees","Cernucci","Worth & Worth",NA,"United States",NA,"E-Commerce,Fashion,Clean,Photography,Copy design,Header Design,Shopify",""
"https://www.awwwards.com/sites/studio-lenzing-1","Nominees","Studio Lenzing","Thomas Bonometti Portfolio",NA,"Germany",NA,"Design Agencies,Web & Interactive,Startups,Minimal,Portfolio,Typography,UI design,About Page,Project Page,CSS,Lottie,Webflow,After Effects,Figma",""
"https://www.awwwards.com/sites/the-unconventional-gallery","Nominees","The Unconventional Gallery","CalorieMate to Programmer",NA,"France",NA,"Art & Illustration,Food & Drink,Animation,Gallery,Gestures / Interaction,Interaction Design,WebGL",""
"https://www.awwwards.com/sites/gamesforest-club","Nominees","GamesForest.Club","What You Don't Know",NA,"Germany",NA,"Games & Entertainment,Startups,Social responsibility,Unusual Navigation,Data Visualization,3D,Interaction Design,Wordpress,Three.js",""
"https://www.awwwards.com/sites/brez-by-mowee-configurator","Nominees","Brez by Möwee configurator","Scorpions: Digital Escape Game",NA,"Spain",NA,"Architecture,Business & Corporate,Web & Interactive,App Style,360,Responsive,3D,Gestures / Interaction,Interaction Design,WebGL,Node.js,Three.js,Angular,Javascript,Cinema 4D",""
"https://www.awwwards.com/sites/mosaic","Nominees","Mosaic","Balance",NA,"Italy",NA,"Mobile & Apps,Technology,Startups,Single page,UI design,Project Page,Tailwind CSS",""
"https://www.awwwards.com/sites/instaclustr-corporate-website","Nominees","Instaclustr Corporate Website","Optimal Dynamics Website",NA,"United States",NA,"Business & Corporate,Technology,Web & Interactive,Animation,Icons,Minimal,Illustration,UI design,Microinteractions",""
"https://www.awwwards.com/sites/dojacode","Nominees","DojaCode","The Fabric of America",NA,"United States",NA,"Culture & Education,Music & Sound,Clean,Video,Sound-Audio,3D,Filters and Effects,Microinteractions,WebGL",""
"https://www.awwwards.com/sites/devran-dogaroglu","Nominees","Devran Dogaroglu","Lucas Di Grassi",NA,"Germany",NA,"Other,Promotional,Web & Interactive,Graphic design,Retro,Typography,Transitions,Storytelling,UI design,Anime.js,Webflow,After Effects,Javascript,Adobe Illustrator",""
"https://www.awwwards.com/sites/cricut","Nominees","Cricut","Karma Koma",NA,"United States",NA,"E-Commerce,Web & Interactive,Photography,Clean,Colorful,Fullscreen,Photography,Interaction Design,UI design",""
"https://www.awwwards.com/sites/marc-antoine-halle","Nominees","Marc-antoine Hallé","Przemek Szuba Photography",NA,"Canada",NA,"Photography,Minimal,Navigation Menu,Photography,Wordpress",""
"https://www.awwwards.com/sites/dexter-washington-portfolio","Nominees","Dexter Washington - Portfolio","Daniel See",NA,"United States",NA,"Art & Illustration,Business & Corporate,Design Agencies,Clean,Fullscreen,Parallax,Portfolio,Typography,UI design,Webflow,Figma,Locomotive Scroll",""
"https://www.awwwards.com/sites/mausumi-showcase-of-writings","Nominees","Mausumi - Showcase of Writings","Maircare",NA,"India",NA,"Other,Web & Interactive,Clean,Flat Design,Horizontal Layout,Single page,Typography,UI design,CSS,HTML5,jQuery,Webflow,Javascript,Figma",""
"https://www.awwwards.com/sites/nils-schekorr","Nominees","Nils Schekorr","genn.org <U+0001F178><U+0001F178><U+0001F178><U+0001F187>",NA,"Germany",NA,"Other,Clean,Single page,SVG,11ty",""
"https://www.awwwards.com/sites/sanjyt-syngh","Nominees","Sanjyt Syngh","On The Edge",NA,"India",NA,"Architecture,Design Agencies,Other,Clean,Fullscreen,Graphic design,Responsive Design,Photo & Video,UI design,React,After Effects,Adobe Photoshop,Adobe Illustrator",""
"https://www.awwwards.com/sites/you-digitalwerk","Nominees","You&digitalwerk","970 Design",NA,"Austria",NA,"Design Agencies,Web & Interactive,Animation,Icons,Transitions,Photo & Video",""
"https://www.awwwards.com/sites/demestre-photographie","Nominees","Demestre Photographie","Copper.com",NA,"France",NA,"Photography,Colorful,Photography,Portfolio,Responsive Design,Photo & Video,Contact Page,Javascript,Figma,Sass",""
"https://www.awwwards.com/sites/cosmos-hotel-group","Nominees","Cosmos Hotel Group","Observer Capital",NA,"Russia",NA,"Business & Corporate,Hotel / Restaurant,Animation,Clean,Flat Design,Minimal,Menu - Horizontal,Responsive,CSS,Figma",""
"https://www.awwwards.com/sites/robotics","Nominees","Robotics","Traackr",NA,"Portugal",NA,"Business & Corporate,Institutions,Technology,Animation,Big Background Images,Graphic design",""
"https://www.awwwards.com/sites/extra-hours","Nominees","Extra Hours","hyogen",NA,"United States",NA,"Design Agencies,Fashion,Photography,Clean,Photography,Portfolio,Typography,Adobe Illustrator",""
"https://www.awwwards.com/sites/highvibe-network","Nominees","Highvibe Network","Script Compass",NA,"United States",NA,"Art & Illustration,Technology,Animation,Colorful,Data Visualization,Webflow,After Effects,Javascript",""
"https://www.awwwards.com/sites/zeal-technology","Nominees","Zeal Technology","The Franchise Group",NA,"United States",NA,"Technology,Startups,Clean,Navigation Menu,Responsive Design,Menu - Horizontal,Menu - Vertical,UI design,Wordpress,CSS,HTML5,Javascript",""
"https://www.awwwards.com/sites/the-franchise-group","Nominees","The Franchise Group","District2 Studio",NA,"United States",NA,"Design Agencies,Web & Interactive,Colorful,Navigation Menu,Menu - Horizontal,Menu - Vertical,Interaction Design,UI design,Wordpress,CSS,HTML5,Vue.js,Javascript,Adobe Photoshop",""
