"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:46:25,FALSE,NA,"1475795268696260616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vidasies",162,TRUE,FALSE,NA,NA
"RT @cagyjan1: How to buy $AXS, $ETH, $SLP with Debit card in USA for @AxieInfinity 

Full tutorial <U+0001F447> https://t.co/QGiizRSkG5",FALSE,0,NA,2021-12-28 11:46:13,FALSE,NA,"1475795218779807745",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LoveAxies",30,TRUE,FALSE,NA,NA
"@gk000617381 @mgokhanduman Bu oyunun oynayanlarin aylik ortalama 3k ile 4k slp kazandigini duydum. Su an için bile… https://t.co/VzKetYFsUY",FALSE,0,"gk000617381",2021-12-28 11:46:11,TRUE,"1475792631988989955","1475795211016097795","1353655576937553922","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","senrecep8734",0,FALSE,FALSE,NA,NA
"RT @kucoincom: Top 10 Coins by Weekly Search Popularity on #KuCoin (Dec 27, 2021)

<U+0001F525> $SHIB <U+0001F525> $BTC <U+0001F525> $BNB <U+0001F525> $MATIC <U+0001F525> $SOS <U+0001F525> $SAND <U+0001F525> $LUNA <U+0001F525>…",FALSE,0,NA,2021-12-28 11:46:06,FALSE,NA,"1475795188945620994",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SanketP64258157",507,TRUE,FALSE,NA,NA
"RT @kucoincom: Top 10 Coins by Weekly Search Popularity on #KuCoin (Dec 27, 2021)

<U+0001F525> $SHIB <U+0001F525> $BTC <U+0001F525> $BNB <U+0001F525> $MATIC <U+0001F525> $SOS <U+0001F525> $SAND <U+0001F525> $LUNA <U+0001F525>…",FALSE,0,NA,2021-12-28 11:46:05,FALSE,NA,"1475795184956985344",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","shiba89756961",507,TRUE,FALSE,NA,NA
"RT @AxieLima: 8000 $SLP New Year’s Eve Giveaway! <U+2764><U+FE0F><U+0001F389> (8 winners will get 1000 $SLP each)
Steps:
1<U+FE0F><U+20E3> Follow @gocholive @LoverF22 @charliepap…",FALSE,0,NA,2021-12-28 11:45:52,FALSE,NA,"1475795127595581440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fran23mfn",1878,TRUE,FALSE,NA,NA
"ezHub<U+304C><U+826F><U+3059><U+304E><U+3066>AI scholar Tracker<U+4F7F><U+3046><U+610F><U+5473><U+306A><U+304F><U+306A><U+3063><U+305F><U+0001F645><U+200D><U+2642><U+FE0F>

<U+30A2><U+30C9><U+30D9><U+30F3><U+30C1><U+30E3><U+30FC><U+306E>SLP<U+7372><U+5F97><U+306E><U+9032><U+6357><U+3084><U+30B9><U+30C6><U+30FC><U+30B8><U+3069><U+3053><U+307E><U+3067><U+3084><U+3063><U+3066><U+308B><U+3068><U+304B><U+3082><U+898B><U+308C><U+308B>
<U+66F4><U+65B0><U+3082><U+30EA><U+30A2><U+30EB><U+30BF><U+30A4><U+30E0><U+3067><U+53CD><U+6620><U+3055><U+308C><U+3066><U+308B><U+3063><U+307D><U+3044>

Filter<U+306E><U+6A5F><U+80FD><U+304C><U+4ECA><U+5F8C><U+4F7F><U+3048><U+308B>… https://t.co/lXlWk3BSTO",FALSE,0,NA,2021-12-28 11:45:51,TRUE,NA,"1475795125796478976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","matsu_Axie",0,FALSE,FALSE,NA,NA
"RT @anagomeshiyaki: Looking for a scalar for Axie Infinity.
Daily quota of at least 100 SLP
Your share is 30% of you earn
If the conditions…",FALSE,0,NA,2021-12-28 11:45:44,FALSE,NA,"1475795097971494915",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HubertCajes",2,TRUE,FALSE,NA,NA
"Funny guys will always win <U+0001F62D><U+0001F62D><U+0001F602> https://t.co/TwtvI0Cy89",FALSE,0,NA,2021-12-28 11:45:27,FALSE,NA,"1475795023497203715",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ora_slp",0,FALSE,FALSE,NA,NA
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:45:18,FALSE,NA,"1475794988994863113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nagernavas",162,TRUE,FALSE,NA,NA
"@irwzaw https://t.co/jj6kY5UDhS",FALSE,0,"irwzaw",2021-12-28 11:45:00,FALSE,"1475736363345625090","1475794912260071436","1316368532465233921","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAMAD_SLP",0,FALSE,FALSE,NA,NA
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:44:55,FALSE,NA,"1475794888851607555",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","israelurbina45",162,TRUE,FALSE,NA,NA
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:44:47,FALSE,NA,"1475794857931198466",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Eldarionx7",162,TRUE,FALSE,NA,NA
"RT @kucoincom: Top 10 Coins by Weekly Search Popularity on #KuCoin (Dec 27, 2021)

<U+0001F525> $SHIB <U+0001F525> $BTC <U+0001F525> $BNB <U+0001F525> $MATIC <U+0001F525> $SOS <U+0001F525> $SAND <U+0001F525> $LUNA <U+0001F525>…",FALSE,0,NA,2021-12-28 11:44:47,FALSE,NA,"1475794857394278402",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sanjay9411",507,TRUE,FALSE,NA,NA
"RT @kucoincom: Top 10 Coins by Weekly Search Popularity on #KuCoin (Dec 27, 2021)

<U+0001F525> $SHIB <U+0001F525> $BTC <U+0001F525> $BNB <U+0001F525> $MATIC <U+0001F525> $SOS <U+0001F525> $SAND <U+0001F525> $LUNA <U+0001F525>…",FALSE,0,NA,2021-12-28 11:44:45,FALSE,NA,"1475794847164469250",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","shib33712957",507,TRUE,FALSE,NA,NA
"@Konoha_slp <U+307E><U+3061><U+3083><U+826F><U+304B><U+3063><U+305F><U+6700><U+60AA>",FALSE,0,"Konoha_slp",2021-12-28 11:44:25,FALSE,"1475781190057873411","1475794764532711428","1107198183317233665","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ASSKJJJ",0,FALSE,FALSE,NA,NA
"RT @ajdicaprio: <U+0001F680> Sorteo de 3<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3>0<U+FE0F><U+20E3> SLP para año nuevo <U+0001F31F>
(1000 SLP para 3 personas)
<U+0001F4DC>Reglas:
<U+2694><U+FE0F>Like &amp; RT este tweet
<U+2694><U+FE0F>Sigue a @AlisNFT…",FALSE,0,NA,2021-12-28 11:44:22,FALSE,NA,"1475794752641589255",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Frank21m",162,TRUE,FALSE,NA,NA
