"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 11:51:26,FALSE,NA,"1475434141537955850",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","codex_mikkies",1037,TRUE,FALSE,NA,NA
"RT @HorisawaMayu: <U+0001F408><U+0001F41F><U+0001F335>Axie infinity Scholarship<U+0001F408><U+0001F41F><U+0001F335>

Contract terms:
·BAP Teams
·Scholar 60%
·Earn 500 SLP a week
·Pay at the end of the mont…",FALSE,0,NA,2021-12-27 11:50:32,FALSE,NA,"1475433917062647808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CrisantoJimene7",294,TRUE,FALSE,NA,NA
"@MoonBliss11 Hellow sir/ma'am I am looking for scholarship I have knowledge about playing Axie Infinity and also I… https://t.co/wWPi1qlrf7",FALSE,0,"MoonBliss11",2021-12-27 11:49:34,TRUE,"1475433421748928515","1475433670819278850","2862121670","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","imperialarnie2",0,FALSE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 11:49:11,FALSE,NA,"1475433577055727617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rafael45502512",1037,TRUE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 11:47:08,FALSE,NA,"1475433061428785153",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","erwinmeme",1037,TRUE,FALSE,NA,NA
"RT @nixeniego: Axie Infinity had the craziest growth back in July of this year.

We saw $SLP hitting an all-time high of $0.40 usd (P20 php…",FALSE,0,NA,2021-12-27 11:45:54,FALSE,NA,"1475432748315643906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","biggheadgaming",154,TRUE,FALSE,NA,NA
"RT @Reinald48134561: Gracias al equipo de Axie Infinity ES, por darnos ésta excelente oportunidad que nos llevó a una experiencia tan enriq…",FALSE,0,NA,2021-12-27 11:45:25,FALSE,NA,"1475432628933128194",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Emelynmaglasan2",2,TRUE,FALSE,NA,NA
"RT @nixeniego: Who's the best Axie Infinity graphic artist in my network. I want the sickest PFP and cover photo.

Please comment or DM me…",FALSE,0,NA,2021-12-27 11:45:05,FALSE,NA,"1475432546468913153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RedOrange001",8,TRUE,FALSE,NA,NA
"RT @Reinald48134561: Con ésta Land Navideña quise recrear la noticia más esperada por la Comunidad de Axie infinity, sin embargo más allá d…",FALSE,0,NA,2021-12-27 11:44:08,FALSE,NA,"1475432306311503876",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Emelynmaglasan2",5,TRUE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-27 11:43:33,FALSE,NA,"1475432158592258050",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LionZionLeano",1037,TRUE,FALSE,NA,NA
