"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"$ADIDAS $200m mcap next week. Book it.
HOLD to get #NFT #Airdrop

0x00000006e55A9364b657E3b91Cd0411B4fD11aC2
$shib… https://t.co/P4ZBvsKymn",FALSE,0,NA,2021-12-26 23:27:03,TRUE,NA,"1475246813355589640",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DjJaxx21",0,FALSE,FALSE,NA,NA
"RT @AxieJamJTM: Last thing to do is give myself some love for Christmas!

Handshake
1<U+FE0F><U+20E3> Follow @AxieJamJTM and @JAM_SCHOLARS 
2<U+FE0F><U+20E3> Retweet,…",FALSE,0,NA,2021-12-26 23:27:02,FALSE,NA,"1475246808439787521",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Koiwowokoi",74,TRUE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-26 23:26:39,FALSE,NA,"1475246710116929536",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bymunix_",863,TRUE,FALSE,NA,NA
"@kmsjfk @_mathmallow @r3dcaterpillar Eu desisti de jogar. Coloquei meus dois times à venda e estou só fazendo Stake… https://t.co/49mrWvEqxN",FALSE,0,"kmsjfk",2021-12-26 23:26:18,TRUE,"1475218642476351488","1475246622573531136","190012460","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OttoniPauleo",0,FALSE,FALSE,NA,NA
"RT @gocholive: SORTEO FIN DE AÑO CON GOCHO Y AXIE INFINITY
 10 $AXS <U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384><U+0001F9D1><U+200D><U+0001F384>

PARA PARTICIPAR: 
<U+2705>SEGUIRME 
<U+2705>SEGUIR @AxieInfini…",FALSE,0,NA,2021-12-26 23:26:08,FALSE,NA,"1475246580433313793",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KidBourbon6",863,TRUE,FALSE,NA,NA
"RT @AxieJamJTM: Second Group of person I want to shower some love on this Christmas!

<U+0001F91D>
1<U+FE0F><U+20E3> Follow @DaichiBP 
2<U+FE0F><U+20E3> Retweet, like and tag a f…",FALSE,0,NA,2021-12-26 23:26:07,FALSE,NA,"1475246578323517440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Koiwowokoi",74,TRUE,FALSE,NA,NA
"@AXS_YaHi <U+30E9><U+30EA><U+30FC><U+30B2><U+30FC><U+30E0><U+3068><U+8A00><U+3048><U+3070><U+30B3><U+30A4><U+30C4><U+3001><U+3063><U+3066><U+304F><U+3089><U+3044><U+306B><U+3001><U+30E1><U+30B8><U+30E3><U+30FC><U+306A><U+8ECA><U+3067><U+3059><U+306D><U+3002>",FALSE,1,"AXS_YaHi",2021-12-26 23:25:57,FALSE,"1475245655153328128","1475246535126679553","1192450524802514944","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","theogonta111111",0,FALSE,FALSE,NA,NA
"Opportunity Alert<U+2757> Increasing Number of Short Positions

<U+2705>Symbol : $BTC
<U+2705>Price range : 50736.76 - 51048.98

Futures… https://t.co/Bzy8eufoOS",FALSE,0,NA,2021-12-26 23:25:47,TRUE,NA,"1475246495574020096",NA,"<a href=""http://www.mytestgreatapp.com"" rel=""nofollow"">ffxx</a>","futuresheroes",0,FALSE,FALSE,NA,NA
"RT @bitazzaofficial: #Bitazza <U+0E08><U+0E31><U+0E1A><U+0E21><U+0E37><U+0E2D> @SeaconBangkae  <U+0E1E><U+0E32><U+0E04><U+0E38><U+0E13><U+0E01><U+0E49><U+0E32><U+0E27><U+0E2A><U+0E39><U+0E48> #Metaverse <U+0E2A><U+0E30><U+0E2A><U+0E21><U+0E0B><U+0E35><U+0E04><U+0E2D><U+0E19><U+0E1E><U+0E2D><U+0E22><U+0E17><U+0E4C> <U+0E41><U+0E25><U+0E01><U+0E15><U+0E31><U+0E27> @AxieInfinity <U+0001F47E> <U+0E23><U+0E27><U+0E21> 100,000 <U+0E1A><U+0E32><U+0E17>!  <U+0E41><U+0E16><U+0E21><U+0E23><U+0E31><U+0E1A>…",FALSE,0,NA,2021-12-26 23:25:35,FALSE,NA,"1475246442625134597",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VivoViv93616236",2,TRUE,FALSE,NA,NA
"@Jihoz_Axie Teached my mom multiple times how to stake $axs but she still prefers me staking it for her. She has co… https://t.co/plsEGWVPVq",FALSE,6,"Jihoz_Axie",2021-12-26 23:25:25,TRUE,"1475245656826646533","1475246402351480834","1009692722976788480","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zo_wowbugof",0,FALSE,FALSE,NA,NA
