"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 13:06:55,FALSE,NA,"1474003585104941057",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AxieThailand",149,TRUE,FALSE,NA,NA
"@bestaxies @AxieInfinity Please be mindful of your words. Many people lost alot of money, as a result of being misl… https://t.co/2rGeMbnqnL",FALSE,8,"bestaxies",2021-12-23 12:05:53,TRUE,"1473985826950467585","1473988227635707904","1372558886478168065","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chee85781708",0,FALSE,FALSE,NA,NA
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 12:04:12,FALSE,NA,"1473987803809820675",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EduardoLopez_1",149,TRUE,FALSE,NA,NA
"@ZyoriTV Terminaron dejándonos un pésimo fin de año,  mal ahi skymavis",FALSE,1,"ZyoriTV",2021-12-23 11:55:06,FALSE,"1473983737708883968","1473985515993157636","217217185","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Luchote_cipo",0,FALSE,FALSE,NA,NA
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 11:44:31,FALSE,NA,"1473982849963462657",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","LoveAxies",149,TRUE,FALSE,NA,NA
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 11:38:18,FALSE,NA,"1473981287807344644",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ID_Guild",149,TRUE,FALSE,NA,NA
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 11:36:23,FALSE,NA,"1473980804250353666",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GlenFredMangi",149,TRUE,FALSE,NA,NA
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 11:34:37,FALSE,NA,"1473980358664155137",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evamay_sayson",149,TRUE,FALSE,NA,NA
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 11:33:13,FALSE,NA,"1473980005935947784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","crypt0purposes",149,TRUE,FALSE,NA,NA
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 11:28:02,FALSE,NA,"1473978700274167812",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bosku53055993",149,TRUE,FALSE,NA,NA
"RT @AxieInfinity: We plan on upgrading this over time!

https://t.co/qyO1Z30VdW https://t.co/Zpn7QxiNvF",FALSE,0,NA,2021-12-23 11:09:53,FALSE,NA,"1473974136653238272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neilwlzn",149,TRUE,FALSE,NA,NA
